date,id,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_l1,copper_l2,copper_l3,copper_l4,copper_l5,activity_l1,syp
01-03-10,243,69.73020172119141,1115.5,153.6000061035156,83.76000213623047,17.5,7830,1.096099972724915,6.826200008392334,523.16259765625,2.8403000831604,7072,6854,7346,6814.5,6575,51.57170104980469,117
01-04-10,244,64.62310028076172,1179.25,172.8999938964844,86.15000152587891,18.6200008392334,7365,1.079699993133545,6.825600147247314,520.6243286132813,2.840699911117554,7830,7072,6854,7346,6814.5,69.73020172119141,118.8099975585938
01-05-10,245,88.05079650878906,1207.5,145.1999969482422,73.97000122070313,18.53000068664551,6926,1.147699952125549,6.827499866485596,533.2064819335938,2.846100091934204,7365,7830,7072,6854,7346,64.62310028076172,109.370002746582
01-06-10,246,66.51499938964844,1244,138.8999938964844,75.62999725341797,18.73999977111816,6515,1.17110002040863,6.818399906158447,536.6680908203125,2.83870005607605,6926,7365,7830,7072,6854,88.05079650878906,103.2200012207031
01-07-10,247,18.4512996673584,1169,136.3000030517578,78.94999694824219,17.65999984741211,7195,1.138200044631958,6.776199817657471,531.7213745117188,2.823400020599365,6515,6926,7365,7830,7072,66.51499938964844,110.2699966430664
01-08-10,248,42.63130187988281,1246,141.5,71.91999816894531,18.8700008392334,7355.5,1.110599994659424,6.787300109863281,509.3240966796875,2.802500009536743,7195,6515,6926,7365,7830,18.4512996673584,105.3099975585938
01-09-10,249,53.79000091552734,1307,141.1000061035156,79.97000122070313,22.06999969482422,8053.5,1.064100027084351,6.73960018157959,493.9330139160156,2.791100025177002,7355.5,7195,6515,6926,7365,42.63130187988281,114.129997253418
01-10-10,250,52.64659881591797,1346.75,149.1000061035156,81.43000030517578,23.95999908447266,8225,1.018499970436096,6.667799949645996,484.04150390625,2.792099952697754,8053.5,7355.5,7195,6515,6926,53.79000091552734,118.4899978637695
01-11-10,251,37.69290161132813,1383.5,167.8000030517578,84.11000061035156,27.1299991607666,8375,1.011199951171875,6.653800010681152,482.3167114257813,2.806099891662598,8225,8053.5,7355.5,7195,6515,52.64659881591797,118.4899978637695
01-12-10,252,24.11009979248047,1410.25,170.1000061035156,91.37999725341797,30.6299991607666,9739.5,1.007200002670288,6.649700164794922,474.7781066894531,2.816400051116943,8375,8225,8053.5,7355.5,7195,37.69290161132813,125.75
01-01-11,253,-13.18290042877197,1327,185.6000061035156,92.19000244140625,27.75,9720,1.00380003452301,6.596399784088135,489.4410095214844,2.787800073623657,9739.5,8375,8225,8053.5,7355.5,24.11009979248047,128.6799926757813
01-02-11,254,-30.42119979858398,1411,182.8000030517578,96.97000122070313,33.4900016784668,9857.5,.9916999936103821,6.576099872589111,475.6910095214844,2.771199941635132,9720,9739.5,8375,8225,8053.5,-13.18290042877197,133.1499938964844
01-03-11,255,-7.329599857330322,1439,172.3999938964844,106.7200012207031,37.86999893188477,9399.5,.9887999892234802,6.564499855041504,479.6521911621094,2.779900074005127,9857.5,9720,9739.5,8375,8225,-30.42119979858398,132.5899963378906
01-04-11,256,-18.22100067138672,1535.5,181.5,113.9300003051758,48.70000076293945,9370.5,.9445000290870667,6.526700019836426,471.3200073242188,2.816299915313721,9399.5,9857.5,9720,9739.5,8375,-7.329599857330322,136.4299926757813
01-05-11,257,-17.67620086669922,1536.5,169.8000030517578,102.6999969482422,38.65000152587891,9224.5,.9368000030517578,6.495699882507324,467.7286071777344,2.775599956512451,9370.5,9399.5,9857.5,9720,9739.5,-18.22100067138672,134.8999938964844
01-06-11,258,-11.70610046386719,1505.5,166.8000030517578,95.41999816894531,35.02000045776367,9301,.9419000148773193,6.474599838256836,469.4118957519531,2.764699935913086,9224.5,9370.5,9399.5,9857.5,9720,-17.67620086669922,131.9700012207031
01-07-11,259,-16.64229965209961,1628.5,175.5,95.69999694824219,39.63000106811523,9731,.9276000261306763,6.457499980926514,462.9371032714844,2.741899967193604,9301,9224.5,9370.5,9399.5,9857.5,-11.70610046386719,129.3300018310547
01-08-11,260,-15.23499965667725,1813.5,179.8999938964844,88.80999755859375,41.34999847412109,9197,.9521999955177307,6.403600215911865,466.7904968261719,2.740000009536743,9731,9301,9224.5,9370.5,9399.5,-16.64229965209961,122.2200012207031
01-09-11,261,13.00119972229004,1620,171.3000030517578,79.19999694824219,30.45000076293945,7131.5,.9785000085830688,6.388500213623047,483.6937866210938,2.74429988861084,9197,9731,9301,9224.5,9370.5,-15.23499965667725,113.1500015258789
